import time: self [us] | cumulative | imported package
import time:        84 |         84 |                 scipy.sparse.coo
import time:        83 |         83 |                 scipy.sparse.csc
import time:        88 |         88 |                 scipy.sparse.csr
import time:        93 |         93 |                 scipy.sparse.data
import time:        84 |         84 |                 scipy.sparse.dia
import time:        87 |         87 |                 scipy.sparse.dok
import time:        94 |         94 |                 scipy.sparse.extract
import time:       104 |        104 |                 scipy.sparse.lil
import time:        99 |         99 |                 scipy.sparse.sparsetools
import time:        94 |         94 |                 scipy.sparse.sputils
import time:       530 |      63991 |               scipy.sparse
import time:       856 |      64846 |             scipy.spatial._ckdtree
import time:       906 |        906 |                     scipy.linalg._fblas
import time:       352 |       1257 |                   scipy.linalg.blas
import time:      1270 |       1270 |                     scipy.linalg._flapack
import time:       617 |       1886 |                   scipy.linalg.lapack
import time:       898 |        898 |                   scipy.linalg._batched_linalg
import time:       367 |       4407 |                 scipy.linalg._misc
import time:       764 |        764 |                 scipy.linalg._cythonized_array_utils
import time:      2320 |       2320 |                   scipy.linalg._decomp
import time:       813 |        813 |                   scipy.linalg._decomp_svd
import time:       426 |        426 |                   scipy.linalg._solve_toeplitz
import time:      1309 |       4867 |                 scipy.linalg._basic
import time:       442 |        442 |                 scipy.linalg._decomp_lu
import time:       477 |        477 |                 scipy.linalg._decomp_ldl
import time:       429 |        429 |                 scipy.linalg._decomp_cholesky
import time:       584 |        584 |                 scipy.linalg._decomp_qr
import time:       846 |        846 |                 scipy.linalg._decomp_qz
import time:       698 |        698 |                 scipy.linalg._decomp_schur
import time:       387 |        387 |                 scipy.linalg._decomp_polar
import time:       598 |        598 |                   scipy.linalg._expm_frechet
import time:       622 |        622 |                   scipy.linalg._internal_matfuncs
import time:       370 |        370 |                   scipy.linalg._linalg_pythran
import time:      1807 |       3395 |                 scipy.linalg._matfuncs
import time:       817 |        817 |                 scipy.linalg._special_matrices
import time:       899 |        899 |                 scipy.linalg._solvers
import time:       703 |        703 |                 scipy.linalg._procrustes
import time:       556 |        556 |                   scipy.linalg.cython_blas
import time:      1960 |       1960 |                   scipy.linalg.cython_lapack
import time:      1455 |       3970 |                 scipy.linalg._decomp_update
